"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:53 GMT 2022","158","","PortioTest","","PortioTest","saveDataFromPageTest","Adatok listázása, lementése felületről",""
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:53 GMT 2022","134","","PortioTest","","PortioTest","paginationTest","Több oldalas lista bejárása",""
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:54 GMT 2022","146","","PortioTest","","PortioTest","RegisterNewUser","Regisztráció",""
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:53 GMT 2022","148","","PortioTest","","PortioTest","deleteDataTest","Adatok törlése",""
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:53 GMT 2022","139","","PortioTest","","PortioTest","logoutTest","Kijelentkezés",""
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:53 GMT 2022","140","","PortioTest","","PortioTest","alterDataTest","Meglévő adat módosítás",""
"broken","Sun Jul 10 06:10:53 GMT 2022","Sun Jul 10 06:10:53 GMT 2022","184","","PortioTest","","PortioTest","readFile","Ismételt és sorozatos adatbevitel - regisztráció file-ban található adatokkal",""
"broken","Sun Jul 10 06:10:51 GMT 2022","Sun Jul 10 06:10:52 GMT 2022","758","","PortioTest","","PortioTest","AcceptTerms","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Jul 10 06:10:52 GMT 2022","Sun Jul 10 06:10:52 GMT 2022","175","","PortioTest","","PortioTest","inputDataTest","Űj adat bevitel",""
"broken","Sun Jul 10 06:10:52 GMT 2022","Sun Jul 10 06:10:52 GMT 2022","183","","PortioTest","","PortioTest","loginTest","Bejelentkezés",""
